Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	6329	6760	431	6544.5	72.535498951729	110.087315639507	182.622814591235	11.5939	171.028914591235	90.9676928398514	129.800277080767	220.767969920618	27.7339	193.034069920618	306.599949568473	308.136397336017	8893.34466276753
1	9191	9576	385	9383.5	53.0153175746775	41.7308845215968	94.7462020962743	10.3565	84.3897020962743	69.3867245730999	57.8214205654744	127.208145138574	26.4965	100.711645138574	151.283649718853	160.763970399347	4388.18610598201
1	11130	11243	113	11186.5	7.28724641054548	7.62461152291074	14.9118579334562	3.0397	11.8721579334562	19.3814957188266	18.2424135137095	37.6239092325361	19.1797	18.4442092325361	21.2829686276519	29.4421196577503	617.341182602855
1	28177	28865	688	28521	84.5165599650494	132.530594732885	217.047154697934	18.5072	198.539954697934	100.594297332465	144.349372528253	244.943669860718	34.6472	210.296469860718	355.918414399111	335.692018626619	10323.8931889325
1	29827	30075	248	29951	32.5105380169916	33.7407108022405	66.2512488192321	6.6712	59.5800488192321	50.2356050305891	46.8876512495203	97.1232562801094	22.8112	74.3120562801094	106.807904423196	118.622838497892	3098.10718521101
1	31066	31177	111	31121.5	3.01108861700283	5.19366291241154	8.20475152941438	2.9859	5.21885152941438	17.0833333766205	26.3261775546941	43.4095109313147	19.1259	24.2836109313147	9.35572572361863	38.7634389606039	271.375430907821
1	32971	33197	226	33084	101.012554079656	75.9271482141563	176.939702293813	6.0794	170.860302293813	131.252926859203	100.348622738191	231.601549597393	22.2194	209.382149597393	306.297681837838	334.23250760834	8884.57697995234
1	34454	35111	657	34782.5	116.759625641917	108.589170565835	225.348796207752	17.6733	207.675496207752	135.501187537644	122.503431662875	258.004619200519	33.8133	224.191319200519	372.295508137238	357.8720867299	10798.9328599847
1	36394	36567	173	36480.5	25.65404706112	22.6337593954101	48.28780645653	4.6537	43.63410645653	40.7221888329362	34.348647934185	75.0708367671213	20.7937	54.2771367671213	78.2219478560794	86.6415000627236	2268.93299707404
1	37240	37445	205	37342.5	20.5300769416303	18.3961976105731	38.9262745522034	5.5145	33.4117745522034	38.6194062860953	33.724012529044	72.3434188151392	21.6545	50.6889188151392	59.8965877622644	80.9137000270364	1737.38123519997
1	39003	39222	219	39112.5	71.7520799667314	59.7839176195328	131.535997586264	5.8911	125.644897586264	111.681750755623	85.4842598931676	197.16601064879	22.0311	175.13491064879	225.240973759057	279.56432995106	6533.41794294494
1	42596	42658	62	42627	5.44123731022316	4.19836583817211	9.63960314839527	1.6678	7.97180314839527	26.865621769635	24.8366315917702	51.7022533614052	17.8078	33.8944533614052	14.2908843753665	54.1050331309495	414.526357439958
1	45159	45276	117	45217.5	28.3326700590906	42.2032356747721	70.5359057338628	3.1473	67.3886057338628	86.9775054735064	101.446109244806	188.423614718313	19.2873	169.136314718313	120.806140697749	269.988892102953	3504.14489016061
1	45499	45719	220	45609	66.388434632559	56.9747081257859	123.363142758345	5.918	117.445142758345	133.611282976644	113.304482945479	246.915765922123	22.058	224.857765922123	210.541445186813	358.935922206694	6107.03830995033
1	48350	48502	152	48426	36.6022148880938	42.150041175727	78.7522560638208	4.0888	74.6634560638208	64.5183280242106	61.7503142703257	126.268642294536	20.2288	106.039842294536	133.847612367111	169.269264188207	3882.43034855222
1	52617	52829	212	52723	31.2065728627665	74.1565313173679	105.363104180134	5.7028	99.6603041801344	51.3537893967956	100.172740926498	151.526530323294	21.8428	129.683730323294	178.658937926592	207.011526366036	5182.24322705025
1	57366	57556	190	57461	22.0554192027839	24.1811993713925	46.2366185741764	5.111	41.1256185741764	53.8043359806272	63.6847142299637	117.489050210591	21.251	96.2380502105909	73.7250342198038	153.622860931902	2138.49395772525
1	58423	58681	258	58552	99.0157605722663	148.994192197697	248.009952769964	6.9402	241.069752769964	125.798990862177	193.983339775469	319.782330637646	23.0802	296.702130637646	432.160691766109	473.619634369215	12535.4031759803
1	61029	61405	376	61217	143.792330133177	176.026696709637	319.819026842815	10.1144	309.704626842815	170.712046308796	208.873099994096	379.585146302893	26.2544	353.330746302893	555.20099158716	564.014752828826	16104.3528619113
1	62616	62751	135	62683.5	25.6147511247952	24.0775100941184	49.6922612189137	3.6315	46.0607612189137	49.3130004390674	38.8805792776477	88.1935797167151	19.7715	68.4220797167151	82.5721609738153	109.220787557432	2395.11679021219
1	67796	68683	887	68239.5	476.668706688038	598.390019231493	1075.05872591953	23.8603	1051.19842591953	530.88889966402	652.204454167766	1183.09335383179	40.0003	1143.09305383179	1884.46137978299	1824.69641536544	54661.3415223075
1	69613	70547	934	70080	381.354363344443	223.832553005646	605.186916350089	25.1246	580.062316350089	404.326587738477	266.528637713864	670.855225452341	41.2646	629.590625452341	1039.86555352099	1005.00283293614	30162.7015380064
1	70813	71700	887	71256.5	564.865686053188	250.644680307256	815.510366360444	23.8603	791.650066360444	601.56879050808	275.150846073191	876.719636581271	40.0003	836.719336581271	1419.1744770298	1335.63822211054	41165.0679610114
1	73183	73353	170	73268	11.1023518824769	10.8580771434407	21.9604290259176	4.573	17.3874290259176	30.4114550875654	29.7169269101827	60.1283819977481	20.713	39.4153819977481	31.1700794875121	62.9179802995583	904.130155397814
1	73635	73843	208	73739	20.3095997416406	20.0418274325374	40.351427174178	5.5952	34.756227174178	39.6572989554347	36.4825272652422	76.139826220677	21.7352	54.404626220677	62.3067597912443	86.8450089092871	1807.29152246664
1	74874	75086	212	74980	28.3084725614047	24.5122651351866	52.8207376965913	5.7028	47.1179376965913	50.8907372819872	42.0361529531473	92.9268902351345	21.8428	71.0840902351345	84.4673390816553	113.470101324446	2450.08898487196
1	76164	76629	465	76396.5	293.522646206759	248.001053690236	541.523699896995	12.5085	529.015199896995	326.813703508612	294.447650550117	621.261354058729	28.6485	592.612854058729	948.354458057737	945.975961340737	27508.2989082358
1	79541	79633	92	79587	20.6711623516918	25.233990500051	45.9051528517428	2.4748	43.4303528517428	44.832663760092	43.4357082221978	88.2683719822899	18.6148	69.6535719822899	77.8566830404694	111.186593853789	2258.33799892425
1	81915	82733	818	82324	193.452294691956	334.351524006765	527.803818698721	22.0042	505.799618698721	224.856647101925	366.453804242551	591.310451344475	38.1442	553.166251344475	906.736372357986	883.008144040331	26301.1102545735
1	83442	83537	95	83489.5	7.44762982495979	23.6302563455678	31.0778861705276	2.5555	28.5223861705276	24.596556418448	56.854520554635	81.4510769730831	18.6955	62.7555769730831	51.1314837164055	100.175463373803	1483.1375818838
