Chr	Start	End
1	6329	6760
1	9191	9576
1	11130	11243
1	28177	28865
1	29827	30075
1	31066	31177
1	32971	33197
1	34454	35111
1	36394	36567
1	37240	37445
1	39003	39222
1	42596	42658
1	45159	45276
1	45499	45719
1	48350	48502
1	52617	52829
1	57366	57556
1	58423	58681
1	61029	61405
1	62616	62751
1	67796	68683
1	69613	70547
1	70813	71700
1	73183	73353
1	73635	73843
1	74874	75086
1	76164	76629
1	79541	79633
1	81915	82733
1	83442	83537
1	84473	84643
1	87041	87314
1	92239	92946
1	94473	94607
1	99806	99983
1	100312	100418
1	101169	101410
1	105909	106156
1	108453	108900
1	110429	110618
1	113160	114371
1	114604	114848
1	119642	119872
1	124432	124801
1	128074	128209
1	128945	129302
1	130477	130820
1	131986	132204
1	135710	135780
1	136713	136859
1	138451	138660
1	139136	139483
1	141638	142083
1	143394	143631
1	152054	152174
1	154755	154915
1	158677	158860
1	168984	169294
1	170782	170931
1	171799	171947
1	175009	175397
1	176231	176389
1	179689	180587
1	180982	181409
1	182516	182658
1	182951	183088
1	184611	184857
1	188699	191684
1	192005	192597
1	198294	198800
1	202615	202883
1	211281	211552
1	220100	220246
2	10535	10724
2	21364	21490
2	23803	23958
2	28718	28940
2	36538	36676
2	45043	45509
2	48638	48814
2	49408	49579
2	60846	60994
2	62676	62925
2	69542	69795
2	71114	71604
2	74727	75225
2	80826	80922
2	84366	84517
2	88116	88230
2	89834	89936
2	90469	90596
2	92219	92314
2	96166	96383
2	100146	100306
2	101242	101826
2	107503	107892
2	113471	113554
2	116878	117384
2	122135	122354
2	124808	125074
2	126105	126625
2	132202	132429
2	135762	135864
2	136197	136476
2	140530	141141
2	142899	143096
2	145806	146097
2	146948	147133
2	151223	151462
2	152108	152224
2	153718	153937
2	158463	158661
2	159736	160143
2	161531	161640
2	164167	164324
2	165667	165938
2	170134	170565
2	171223	171446
2	172295	172458
2	177638	177835
2	181392	181597
2	182105	182323
2	186585	186640
2	191779	192331
2	193071	194078
2	195926	196307
2	201903	202008
2	203223	203339
2	206991	207171
2	209419	209548
2	216404	216791
2	217111	217585
2	221913	222046
2	227333	227485
2	236033	236296
2	241435	241626
2	242591	242747
2	246681	246867
2	251013	251754
2	255848	256248
2	258035	258298
2	269675	270152
2	288076	288686
2	289157	289302
2	291976	292477
2	294115	294195
2	296114	296271
2	297820	298205
2	301314	302036
2	306010	306228
2	307100	307570
2	308068	308269
2	311490	311689
2	315185	315500
2	318027	318180
2	321657	321808
2	323857	324393
2	326171	326331
2	326743	326923
2	331540	331787
2	332538	332710
2	336953	337088
2	338416	338656
2	339404	339517
2	340845	340961
2	341294	341968
2	342184	342567
2	344156	344338
2	347347	347780
2	350741	351094
2	356612	356806
2	360357	360594
2	362644	362819
2	369833	369931
2	370993	371414
2	375913	376251
2	378749	379034
2	379989	380197
2	381172	381299
2	382955	383050
2	389906	389992
2	391570	391784
2	392410	392822
2	393208	393393
2	400922	401132
2	407289	407556
2	408628	408789
2	410766	410945
2	418173	418388
2	419300	420036
2	423354	423532
2	426870	427009
2	429297	429477
2	431257	432000
2	435723	435962
2	436793	436867
2	441353	441474
2	444747	444931
2	447387	447580
2	449295	449678
2	451953	452624
2	453399	453587
2	454582	454807
2	458427	458797
2	461896	462145
2	465992	466547
2	466936	467061
2	472060	472358
2	473814	474321
2	476025	476163
2	476663	477644
2	481032	481190
2	483486	483780
2	484559	484738
2	486787	486904
2	488501	488803
2	490234	491231
2	492852	493287
2	494165	494309
2	496897	497150
2	501403	501929
2	502176	502614
2	504446	504828
2	505428	505638
2	515385	515706
2	526901	527141
2	528066	528245
2	532242	532506
2	533311	533649
2	534999	535170
2	536246	536405
2	537544	537712
2	539733	539926
2	544547	544879
2	549135	549281
2	549539	549682
2	553299	553419
2	554655	554942
2	555199	555963
2	561097	561494
2	564878	565210
2	568521	568745
2	581484	581678
2	582185	582408
2	583504	583561
2	586216	586494
2	589271	589385
2	595640	595948
2	597158	597302
2	600053	600497
2	611964	612097
2	618593	618839
2	620569	620821
2	623273	623402
2	624862	625603
2	628518	629078
2	633393	633644
2	634816	635131
2	642316	643226
2	645024	645106
2	645371	645511
2	647224	647484
2	650085	650321
2	651073	651378
2	653126	653318
2	657616	657797
2	661618	662899
2	664739	665086
2	666412	666684
2	668444	668790
2	670297	670514
2	675195	675275
2	679189	679470
2	680037	680820
2	681920	682303
2	683132	683323
2	684803	684943
2	686637	686838
2	691735	691892
2	697384	698211
2	700104	700325
2	701925	703380
2	704110	704515
2	704908	705029
2	706797	707395
2	711336	711545
2	714543	714689
2	716525	716793
2	718098	719151
2	721147	721302
2	722417	722582
2	723043	723249
2	727129	727261
2	728189	728366
2	728639	728790
2	730181	730310
2	734630	734827
2	735532	735714
2	736028	736298
2	738179	738565
2	739665	739800
2	741105	741298
2	741679	741824
2	742576	742765
2	744436	744842
2	747831	747966
2	749403	749534
2	757259	757384
2	760158	760306
2	760894	761190
2	767674	767854
2	770736	770856
2	773576	773765
2	774526	774646
2	776329	776449
2	784705	784849
2	786460	786614
2	786900	786962
2	788757	788858
2	792578	792715
2	798985	799120
2	804940	805165
3	13030	13205
3	13566	13773
3	38902	39251
3	39470	39642
3	40736	41276
3	41889	42041
3	44471	44537
3	48494	48581
3	50336	50444
3	52406	52541
3	56625	56811
3	58841	58969
3	61230	61634
3	63277	63352
3	65278	66112
3	67678	68823
3	71391	71818
3	72975	73085
3	74623	74704
3	76940	77375
3	78859	79002
3	81048	81559
3	93808	94423
3	95147	96242
3	97172	97564
3	98626	98779
3	100276	100414
3	108643	108783
3	109855	109999
3	111135	111235
3	159382	159503
3	167500	168077
3	172672	172801
3	176739	177037
3	177724	177922
3	179745	179841
3	180837	180941
3	181199	181297
3	190318	190574
3	194569	194763
3	197297	197522
3	201451	201682
3	203733	203879
3	204445	204621
3	204983	205183
3	206773	206996
3	209658	210078
3	210875	211133
3	212068	212407
3	213916	214169
3	214499	216852
3	217488	217695
3	218070	218446
3	219027	219303
3	220617	221019
3	224390	224602
3	227536	227778
3	228332	229868
3	230201	230820
3	232370	232543
3	232892	233482
3	235559	235669
3	240542	241326
3	242959	243163
3	244816	245055
3	246600	246856
3	250622	251430
3	252098	252206
3	252989	253247
3	254282	254460
3	256619	257412
3	258466	258605
3	262902	263120
3	263633	263798
3	266911	267544
3	269097	269268
3	271190	271392
3	277171	277323
3	278371	278559
3	284204	284581
3	293620	293752
3	297936	298121
3	298552	298694
3	303341	303586
3	308226	308317
3	314275	314563
3	314965	315170
4	19962	20464
4	22444	22591
4	32034	32258
4	34065	34240
4	36620	36757
4	42355	42585
4	43874	43965
4	46191	46496
4	47879	48016
4	49356	49436
4	52172	52410
4	56732	56917
4	60979	61147
4	62124	62418
4	63005	63138
4	63545	63650
4	70354	70480
4	74141	74300
4	76826	77209
4	80518	80653
4	83763	84017
4	87290	87502
4	88046	88227
4	89883	89992
4	93931	94229
4	98189	98399
4	103412	103573
4	104688	104915
4	106513	107093
4	111190	111339
4	114356	114604
4	116017	116110
4	121808	121995
4	125193	125570
4	126451	126600
4	132758	133245
4	134774	135054
4	135557	135718
4	137896	138031
4	139299	139460
4	141736	141956
4	145533	145728
4	147668	148149
4	148833	148972
4	155693	156299
4	158744	159025
4	159240	159532
4	163215	163393
4	163993	164251
4	167296	167725
4	172183	172650
4	174620	174807
4	176380	176643
4	178134	178247
4	183106	183244
4	184715	184876
4	190685	190849
4	196200	196300
4	198376	198673
4	199731	199985
4	202596	202870
4	211164	211253
4	212718	213200
4	215813	215989
4	219408	219558
4	221913	222115
4	223840	223979
4	226948	227283
4	228959	229105
4	230689	230867
4	232348	232509
4	234133	234649
4	238765	238898
4	239589	240050
4	242058	242292
4	245717	245798
4	248028	248136
4	251322	251509
4	255184	255573
4	258645	258844
4	264162	264427
4	265004	265230
4	266829	267326
4	267540	267741
4	271999	272398
4	273565	273722
4	276604	276782
4	281877	282117
4	283205	283367
4	285216	285312
4	286746	287010
4	289631	289823
4	292578	292689
4	294846	295021
4	296329	296623
4	301031	301113
4	302710	303077
4	304851	305069
4	307930	308306
4	310216	310442
4	312538	312937
4	313951	314380
4	314741	315245
4	316470	316670
4	320313	320406
4	321812	322093
4	323681	323903
4	326222	326392
4	330876	330985
4	334400	334773
4	337315	337448
4	340306	340437
4	341277	341452
4	345035	345558
4	351219	351410
4	352638	352742
4	356934	357365
4	361381	361507
4	362431	362584
4	363642	363837
4	366097	366579
4	369169	369474
4	372062	372167
4	375351	375484
4	378499	378642
4	381528	381708
4	385790	386258
4	386517	387610
4	407456	407795
4	411476	411579
4	413246	413737
4	417010	417157
4	421754	421939
4	423626	423705
4	432071	432236
4	442432	442822
4	444251	444406
4	452744	452940
4	453930	454020
4	461496	461583
4	465325	465820
4	471539	471761
4	477597	477767
4	482366	482582
4	485416	485652
4	489256	489334
4	504904	505076
4	507355	507670
4	512113	512503
4	521448	521608
4	538832	539067
4	543720	543806
4	546000	546502
4	548520	548675
4	550698	551960
4	553030	553164
4	556633	556903
4	560798	560977
4	562540	563146
4	565676	565862
4	568837	568952
4	569884	570069
4	570340	570499
4	573881	574029
4	575914	576323
4	579179	579355
4	587761	588030
4	589469	589711
4	591547	592400
4	593011	593090
4	593301	593773
4	598278	598389
4	599633	600555
4	602890	603046
4	610160	610388
4	611881	611987
4	614074	614191
4	616197	616651
4	617220	617671
4	619925	620144
4	621304	622022
4	623172	623385
4	626056	626364
4	628638	629133
4	629584	629804
4	630692	631140
4	636213	636993
4	643928	644171
4	645038	645133
4	651400	651515
4	652347	652635
4	654758	654983
4	657539	657779
4	664950	665160
4	666855	666985
4	668449	668567
4	668842	668937
4	671044	671228
4	674261	674369
4	674596	674994
4	675626	676073
4	679718	680463
4	681737	682087
4	687897	688082
4	690476	690948
4	693291	693420
4	694220	694392
4	699447	700140
4	703097	703219
4	704092	704437
4	709275	709555
4	715425	715651
4	716636	716863
4	720436	720648
4	721597	722201
4	722427	722833
4	727652	728154
4	730330	730531
4	731507	731651
4	741763	742145
4	744004	744236
4	746256	746691
4	750989	751554
4	755187	755531
4	765270	765606
4	768112	768402
4	769069	769469
4	769976	770303
4	771618	771783
4	775827	775939
4	781259	781371
4	784242	784820
4	787361	787568
4	789289	789437
4	790095	790328
4	793950	794702
4	802514	802647
4	803751	803903
4	806012	806575
4	807839	808271
4	811695	812123
4	814207	814456
4	816598	816804
4	817578	817886
4	819222	819332
4	820939	821252
4	826343	826567
4	827371	827606
4	831431	832035
4	832537	832768
4	834959	837014
4	838143	838388
4	842034	842332
4	844924	845396
4	847930	848518
4	851005	851206
4	854064	854148
4	856065	856370
4	857948	858169
4	859141	859340
4	861485	861827
4	866731	866925
4	867604	868044
4	870719	871014
4	884374	884622
4	889047	889523
4	892469	892686
4	893800	894744
4	905113	905233
4	907103	907267
4	909472	909968
4	911427	911664
4	915001	915156
4	916145	916419
4	923924	924146
4	924484	924685
4	925904	926487
4	926912	927619
4	930356	931063
4	933348	933444
4	935928	936463
4	940863	941058
4	943461	943649
4	946309	946662
4	950269	950532
4	952499	952702
4	954098	954264
4	954880	956087
4	959728	960572
4	964831	965023
4	967901	967968
4	969790	970028
4	976083	976410
4	979303	979498
4	992766	993099
4	998379	998816
4	1002244	1002469
4	1003565	1003943
4	1005159	1005730
4	1009948	1010091
4	1011392	1012253
4	1013727	1014180
4	1021768	1021957
4	1022414	1022848
4	1030297	1030436
4	1031778	1032263
4	1035599	1035765
4	1036998	1037150
4	1039547	1039757
4	1045138	1045380
4	1049500	1049727
4	1050213	1050477
4	1052321	1052450
4	1054715	1055235
4	1055856	1056574
4	1059008	1059586
4	1062846	1063315
4	1067484	1067690
4	1071693	1071814
4	1075211	1075397
4	1080244	1080924
4	1084626	1085021
4	1087063	1087192
4	1090130	1090399
4	1092525	1092742
4	1093477	1093760
4	1101930	1102115
4	1103561	1103726
4	1105878	1106108
4	1108123	1108710
4	1110243	1110536
4	1112302	1112547
4	1116763	1117100
4	1125132	1125337
4	1126057	1126262
4	1127597	1127813
4	1129392	1129581
4	1135500	1135722
4	1140566	1140979
4	1144942	1145165
4	1146066	1146257
4	1149347	1150053
4	1150528	1151001
4	1153658	1153903
4	1161547	1162827
4	1163429	1163600
4	1166432	1166649
4	1168765	1169110
4	1172103	1172249
4	1174321	1174483
4	1174874	1175021
4	1181452	1181551
4	1183089	1183158
4	1184465	1184565
4	1201891	1201944
4	1206510	1206582
4	1213636	1213796
4	1219114	1219318
4	1222519	1222657
4	1229647	1229724
4	1233743	1234051
4	1236262	1236437
4	1242221	1243075
4	1249953	1250135
4	1251688	1252043
4	1256900	1257070
4	1258081	1258631
4	1261408	1261552
4	1263001	1263173
4	1266963	1267373
4	1269527	1269934
4	1270783	1271003
4	1274046	1274127
4	1277478	1277573
4	1278569	1278980
4	1279218	1279668
4	1288032	1288245
4	1288942	1289379
4	1293157	1293335
4	1294416	1294646
4	1295623	1295952
4	1296868	1297034
4	1298235	1298338
4	1301024	1301523
4	1304079	1304187
4	1305716	1305946
4	1311829	1311935
4	1317885	1318073
4	1319242	1319447
4	1319844	1319971
4	1321979	1322153
4	1325388	1325502
4	1328520	1328782
4	1330942	1331099
4	1333928	1334599
4	1337114	1337318
4	1337879	1338241
4	1339449	1339594
4	1342050	1342428
4	1345280	1345616
4	1350009	1350225
4	1355689	1355969
4	1359044	1359150
4	1359627	1359776
4	1362390	1362662
4	1365446	1365617
4	1366871	1367421
4	1369475	1369680
4	1382144	1382206
4	1383534	1383728
4	1384899	1385045
4	1385787	1386013
4	1386581	1386762
4	1388607	1388745
4	1394655	1395037
4	1398831	1398928
4	1401452	1401547
4	1402761	1402903
4	1410170	1410539
4	1411157	1411609
4	1411866	1412210
4	1416881	1417315
4	1420236	1421129
4	1422563	1422682
4	1434358	1434742
4	1436718	1436829
4	1445613	1445793
4	1447042	1447761
4	1454590	1454864
4	1459452	1459719
4	1466026	1466167
4	1468503	1469287
4	1470818	1470946
4	1476555	1477128
5	4904	5210
5	16055	16200
5	27037	27544
5	33690	33856
5	42038	42417
5	42709	42892
5	46017	46611
5	51677	51843
5	56179	56541
5	58126	58327
5	59324	59498
5	60923	61083
5	65213	65292
5	66835	67041
5	68345	69734
5	70218	70414
5	73367	73609
5	77543	77938
5	80097	80441
5	82814	82978
5	84782	85499
5	86374	86795
5	90011	90194
5	94045	94145
5	97910	98112
5	99518	99606
5	100198	100670
5	101554	101758
5	106201	106338
5	106907	107179
5	110593	110775
5	111125	111276
5	115934	116101
5	117010	117138
5	117623	118090
5	122468	122573
5	123022	123602
5	124242	124433
5	128369	128533
5	131444	131695
5	132711	133001
5	141257	141473
5	152797	153273
5	156592	156680
5	159117	159575
5	160266	160475
5	162433	162642
5	171888	172022
5	174399	175130
5	177629	177744
5	178598	178731
5	182369	182569
5	184266	184528
5	188033	188434
5	191920	192001
5	192683	192792
5	194610	195262
5	196694	196919
5	198626	198778
5	200898	201022
5	201871	202184
5	204960	205222
5	208555	208789
5	210338	210504
5	211587	211796
5	212066	212138
5	213227	213477
5	214776	214981
5	221550	221791
5	222327	222567
5	223102	223272
5	225332	225867
5	228242	228415
5	229455	229736
5	234684	234831
5	237195	237473
5	238119	238364
5	239815	239950
5	241764	243078
5	246711	246876
5	248247	248424
5	250455	250641
5	251423	251613
5	254433	254642
5	258141	258361
5	260173	260309
5	264268	264757
5	265989	266189
5	268332	268731
5	271612	271719
5	280902	281075
5	281378	281491
5	284518	284983
5	287197	287372
5	291558	291817
5	292653	292915
5	294969	295316
5	298448	298638
5	303429	303792
5	311390	311967
5	313757	314079
5	316597	316750
5	318490	318871
5	319747	319926
5	321929	322566
5	326026	326183
5	327055	327256
5	328156	328406
5	332890	333053
5	334506	334644
5	335399	336288
5	337637	337882
5	339515	339602
5	342363	342637
5	349457	349913
5	351354	351493
5	355048	355199
5	359103	359510
5	362245	362449
5	364190	364359
5	372064	372270
5	374769	374914
5	377678	378631
5	382352	382480
5	386865	387123
5	394030	394237
5	396335	396594
5	399225	399431
5	400822	401139
5	402143	402251
5	404399	404640
5	406401	406971
5	409379	409723
5	414229	414487
5	415690	415860
5	416511	416879
5	422603	422816
5	424449	424566
5	430774	431351
5	432262	432432
5	432874	433062
5	435623	435763
5	438977	439466
5	442214	442558
5	451362	451566
5	453141	453387
5	456055	456286
5	460284	460434
5	461003	461104
5	461386	462269
5	462981	463125
5	463474	463647
5	464976	465069
5	467551	468168
5	472558	472711
5	474004	474979
5	482899	483299
5	484287	484759
5	490861	491676
5	503874	504020
5	509933	510132
5	512301	512421
5	517613	517786
5	522705	523109
5	525800	525884
5	526804	526914
5	541456	541592
5	546594	546653
5	559155	559265
5	570500	570689
5	571643	571960
6	4171	4493
6	16562	16695
6	27455	27758
6	27961	28190
6	30706	31532
6	32041	32331
6	36057	36263
