Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	6329	6760	431	6544.5	81.2229813105085	135.598706045833	216.821687356342	6.97789	209.843797356342	98.2496708732017	155.047936807231	253.297607680433	16.69189	236.605717680433	314.342260552701	312.224604193489	15993.6317848466
1	9191	9576	385	9383.5	64.8635030946783	57.6161798438003	122.479682938479	6.23315	116.246532938479	84.0791298833135	73.8618561242692	157.940986007583	15.94715	141.993836007583	174.135230136175	187.374885442378	8859.94376534228
1	11130	11243	113	11186.5	12.6768155869965	11.4695950565212	24.1464106435177	1.82947	22.3169406435177	23.8236051537584	22.0352747406961	45.8588798944545	11.54347	34.3154098944545	33.4303784952536	45.2825712627294	1700.92676416158
1	28177	28865	688	28521	128.113878755866	208.312642648124	336.42652140399	11.13872	325.28780140399	145.800179536172	222.092176988396	367.892356524568	20.85272	347.039636524568	487.275316743872	457.95306307721	24792.4093316094
1	29827	30075	248	29951	35.7343077119303	37.6659405620512	73.4002482739814	4.01512	69.3851282739815	50.0323508701713	46.6263929470885	96.6587438172598	13.72912	82.9296238172598	103.937682910613	109.433826139529	5288.31543719141
1	31066	31177	111	31121.5	4.47937617806299	5.41449208101807	9.89386825908106	1.79709	8.09677825908106	14.5655477075304	21.5789669805438	36.1445146880742	11.51109	24.6334246880742	12.1288292206774	32.506235895584	617.11087842826
1	32971	33197	226	33084	75.8666902192797	53.5635109224916	129.430201141771	3.65894	125.771261141771	102.828148736628	70.0951920668736	172.923340803501	13.37294	159.550400803501	188.403102869572	210.542506022903	9585.88848066557
1	34454	35111	657	34782.5	138.780860162819	107.223523486129	246.004383648947	10.63683	235.367553648947	151.010468144424	118.558716256951	269.569184401375	20.35083	249.218354401375	352.576391615386	328.86822357276	17938.9719142806
1	36394	36567	173	36480.5	22.8079878817649	31.5268361579861	54.334824039751	2.80087	51.533954039751	35.4487028548198	38.7935597387939	74.2422625936138	12.51487	61.7273925936138	77.1969427362479	81.4553887766468	3927.75529090032
1	37240	37445	205	37342.5	20.2907450725268	23.3244966657198	43.6152417382466	3.31895	40.2962917382466	36.2563165894221	34.9102936984184	71.1666102878404	13.03295	58.1336602878404	60.3631253173601	76.7131041955831	3071.25614612214
1	39003	39222	219	39112.5	51.1860704907886	57.782382670312	108.968453161101	3.54561	105.422843161101	80.1031622664179	73.9270572331053	154.030219499523	13.25961	140.770609499523	157.921536164727	185.760717297745	8034.99629949545
1	42596	42658	62	42627	7.71733124402199	4.25527236686393	11.9726036108859	1.00378	10.9688236108859	25.3567312267137	18.5842160506116	43.9409472773253	10.71778	33.2231672773253	16.4311018618989	43.8412492940142	836.009108468124
1	45159	45276	117	45217.5	11.7606000054678	26.7337546449247	38.4943546503925	1.89423	36.6001246503925	44.8074620136215	57.5720790938053	102.379541107427	11.60823	90.7713111074268	54.8263330346529	119.781706716482	2789.54595900604
1	45499	45719	220	45609	46.2736869488292	30.5540196138788	76.8277065627081	3.5618	73.2659065627081	83.478519669096	58.8298004831183	142.308320152214	13.2758	129.032520152214	109.751019475004	170.271149520683	5584.09610724439
1	48350	48502	152	48426	16.1511746733368	30.1087120408001	46.2598867141369	2.46088	43.7990067141369	42.6168247587681	41.7752104459385	84.3920352047066	12.17488	72.2171552047066	65.610129791471	95.2976661799159	3338.22202396758
1	52617	52829	212	52723	29.9415091972817	46.1177842974864	76.0592934947681	3.43228	72.6270134947681	43.1253334066696	65.5798152765698	108.705148683239	13.14628	95.5588686832394	108.793969070094	126.099361605873	5535.40169450857
1	57366	57556	190	57461	16.6466831001513	23.656702315342	40.3033854154933	3.0761	37.2272854154933	39.33116888159	50.4869586014122	89.8181274830023	12.7901	77.0280274830023	55.7658086594529	101.646087121058	2837.34617265682
1	58423	58681	258	58552	80.4192676422324	89.5327226292932	169.951990271526	4.17702	165.774970271526	96.9361485349154	117.849304192406	214.785452727321	13.89102	200.894432727321	248.327944665043	265.10003797829	12634.8449040138
1	61029	61405	376	61217	107.182122782052	123.883506812469	231.065629594521	6.08744	224.978189594521	138.577256700257	152.36289114427	290.940147844527	15.80144	275.138707844527	337.013309819703	363.072689017143	17147.1273839271
1	62616	62751	135	62683.5	13.1636238658528	14.6435490340521	27.8071728999049	2.18565	25.6215228999049	33.105363003045	23.2052946385225	56.3106576415675	11.89965	44.4110076415675	38.3805836942719	58.6047092126937	1952.79159160579
1	67796	68683	887	68239.5	237.829244619263	380.035963043598	617.865207662861	14.36053	603.504677662861	265.625217328693	416.631885408492	682.257102737185	24.07453	658.182572737185	904.039228324323	868.536886067462	45997.221345464
1	69613	70547	934	70080	221.338064163652	174.142261532955	395.480325696607	15.12146	380.358865696607	240.030382052687	200.012801497705	440.043183550392	24.83546	415.207723550392	569.770787464827	547.907584036892	28989.7519997848
1	70813	71700	887	71256.5	352.777699478665	124.62511942463	477.402818903294	14.36053	463.042288903294	381.47748755874	142.487623201514	523.965110760254	24.07453	499.890580760254	693.629078672215	659.654974731963	35291.6214957546
1	73183	73353	170	73268	19.9826398327658	6.3977088019949	26.3803486347607	2.7523	23.6280486347607	37.7423418613622	21.336662859823	59.0790047211853	12.4663	46.6127047211853	35.3943948492666	61.5100658793743	1800.85527625623
1	73635	73843	208	73739	16.1904753416997	20.0852415776522	36.2757169193518	3.36752	32.9081969193518	34.1379805641523	31.6160376749828	65.7540182391351	13.08152	52.6724982391351	49.2958912327358	69.5065617002893	2508.15888228316
1	74874	75086	212	74980	17.8124029248489	22.9219898205274	40.7343927453763	3.43228	37.3021127453763	31.8665419351584	35.8556097748417	67.7221517100001	13.14628	54.5758717100001	55.8778986631742	72.0182509121953	2843.04927552033
1	76164	76629	465	76396.5	181.984794906214	139.172166817536	321.15696172375	7.52835	313.62861172375	210.804385023691	173.03834275927	383.842727782962	17.24235	366.600377782962	469.810058840272	483.765392369192	23903.7827007313
1	79541	79633	92	79587	11.045587845685	13.8190350120369	24.8646228577219	1.48948	23.3751428577219	24.0605091826431	22.8411884463869	46.9016976290301	11.20348	35.6982176290301	35.0155465122523	47.1073225909566	1781.57959632107
1	81915	82733	818	82324	113.17372467763	214.418346484165	327.592071161796	13.24342	314.348651161795	133.301766983169	236.879128461208	370.180895444376	22.95742	347.223475444376	470.888665058295	458.195656682027	23958.661833628
1	83442	83537	95	83489.5	4.59597816104295	12.2685086431653	16.8644868042082	1.53805	15.3264368042082	16.6297828127382	29.198996569815	45.8287793825532	11.25205	34.5767293825532	22.9587285969276	45.6274081269418	1168.13262964343
1	84473	84643	170	84558	21.2234609346658	15.8468694982013	37.0703304328671	2.7523	34.3180304328671	30.8858252566983	29.8765080918469	60.7623333485452	12.4663	48.2960333485452	51.4077966558386	63.7313841955906	2615.61194202173
1	87041	87314	273	87177.5	72.9048398488676	69.713585577121	142.618425425989	4.41987	138.198555425989	87.2342835411187	82.9601108528283	170.194394393947	14.13387	156.060524393947	207.018967751301	205.937269550431	10533.0576196522
1	92239	92946	707	92592.5	407.32842719016	488.262303584034	895.590730774194	11.44633	884.144400774194	452.453194600004	514.761754244292	967.214948844296	21.16033	946.054618844296	1324.43252121683	1248.41247206475	67386.6950977999
1	94473	94607	134	94540	16.4436796477934	11.2084906160747	27.6521702638681	2.16946	25.4827102638681	25.3960318950765	18.8548206526217	44.2508525476983	11.88346	32.3673925476983	38.1726448447332	42.7119700489645	1942.21173070056
1	99806	99983	177	99894.5	24.5333172234058	25.1692280379594	49.7025452613652	2.86563	46.8369152613652	36.0443129840039	40.1964835974782	76.2407965814822	12.57963	63.6611665814822	70.1608625370594	84.0071944721345	3569.76182315402
1	100312	100418	106	100365	8.6745475228249	12.7471167825667	21.4216643053916	1.71614	19.7055243053916	20.831054261241	24.1673109989575	44.9983652601985	11.43014	33.5682252601985	29.5185234615932	44.2965873694528	1501.89285477231
1	101169	101410	241	101289.5	28.3918828437161	27.6318699186323	56.0237527623484	3.90179	52.1219627623484	37.4451368069742	42.0147145190405	79.4598513260147	13.61579	65.8440613260147	78.0777693006476	86.887739601345	3972.57145946941
1	105909	106156	247	106032.5	48.9499324621309	39.7158754240634	88.6658078861943	3.99893	84.6668778861943	58.6271970375631	60.8628350577175	119.490032095281	13.71293	105.777102095281	126.829470892061	139.583329423339	6453.04215013263
1	108453	108900	447	108676.5	194.494707654794	203.097553958239	397.592261613034	7.23693	390.355331613034	222.793388913487	241.3778049675	464.171193880987	16.95093	447.220263880987	584.745314867091	590.151291551382	29751.6510743884
1	110429	110618	189	110523.5	37.320134681138	33.4641691050451	70.7843037861831	3.05991	67.7243937861831	47.7007112173747	46.2231860899914	93.9238973073662	12.77391	81.1499873073662	101.449932309218	107.085420063982	5161.73949725482
1	113160	114371	1211	113765.5	267.667652063155	276.107595596211	543.775247659366	19.60609	524.169157659366	294.27290452272	335.542906376879	629.8158108996	29.32009	600.4957208996	785.19603632054	792.413389734693	39950.5184627453
1	114604	114848	244	114726	126.147345312212	82.1684973903331	208.315842702545	3.95036	204.365482702545	188.71450935443	124.731521234141	313.446030588571	13.66436	299.781670588571	306.13584304602	395.591511319256	15576.0919362631
1	119642	119872	230	119757	36.9639286233553	42.8321284203083	79.7960570436637	3.7237	76.0723570436637	49.5447425777096	55.9001506603216	105.444893238031	13.4377	92.0071932380312	113.955032171242	121.412575204534	5797.99490330263
1	124432	124801	369	124616.5	58.8827013827722	64.7004003208873	123.583101703659	5.97411	117.608991703659	73.3124467807941	72.6554356073993	145.967882388193	15.68811	130.279772388193	176.176169032403	171.917021985329	8963.78607131874
1	128074	128209	135	128141.5	15.1602578214085	20.0090402817424	35.1692981031509	2.18565	32.9836481031509	28.7180883912981	45.8894804148592	74.6075688061573	11.89965	62.7079188061573	49.408915758481	82.7492899199245	2513.90953332272
1	128945	129302	357	129123.5	198.476475370329	274.846274145674	473.322749516002	5.77983	467.542919516002	254.957135903033	325.552936483456	580.510072386489	15.49383	565.016242386489	700.37094294714	745.594715002965	35634.6453531481
1	130477	130820	343	130648.5	297.383357420326	188.404004073853	485.787361494179	5.55317	480.234191494179	345.494275613845	220.749754158617	566.244029772462	15.26717	550.976859772462	719.382241699682	727.068363557367	36601.934038625
1	131986	132204	218	132095	53.847915759194	33.7890746305184	87.6369903897124	3.52942	84.1075703897124	71.5891174731666	43.2754359593736	114.86455343254	13.24342	101.62113343254	125.991638251768	134.099118460537	6410.41349841201
1	135710	135780	70	135745	4.00766815600769	4.37977448419674	8.38744264020443	1.1333	7.25414264020443	17.137891453837	17.6363999316716	34.7742913855086	10.8473	23.9269913855087	10.8665761133811	31.5740274077886	552.887851648851
