Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	367	404	37	385.5	8.649106221	1.472188293	10.12129451	2.09568	8.025614514	52.63073147	27.51151872	80.14225019	36.07968	44.06257019	125.8135824	660.4384121	22363.45307
1	982	1064	82	1023	8.649106221	9.385200367	18.03430659	4.64448	13.38982659	44.7177194	54.65499037	99.37270977	38.62848	60.74422977	209.9056774	910.4739574	37310.88231
1	1673	1762	89	1717.5	18.77040073	5.336682562	24.1070833	5.04096	19.0661233	38.46091915	35.33251903	73.79343818	39.02496	34.76847818	298.8901685	521.1325263	53127.93842
1	12469	12873	404	12671	78.48603836	74.98959117	153.4756295	22.88256	130.5930695	99.55673331	99.280698	198.8374313	56.86656	141.9708713	2047.242848	2127.951602	363898.8613
1	26928	27360	432	27144	70.66503806	62.56800245	133.2330405	24.46848	108.7645605	98.45259209	98.45259209	196.9051842	58.45248	138.4527042	1705.048127	2075.219028	303073.5081
1	169020	169110	90	169065	17.02217714	6.992894391	24.01507153	5.0976	18.91747153	39.38103683	32.57216598	71.95320281	39.0816	32.87160281	296.5598284	492.7009267	52713.71882
1	204255	204426	171	204340.5	41.03724866	19.23045958	60.26770824	9.68544	50.58226824	51.61860202	31.6520483	83.27065032	43.66944	39.60121032	792.953158	593.5686535	140947.9835
1	222951	223002	51	222976.5	7.452953233	4.968635488	12.42158872	2.88864	9.532948721	44.90174293	50.97451964	95.87626257	36.87264	59.00362257	149.443314	884.3846065	26563.65454
2	82	110	28	96	8.465082684	0	8.465082684	1.58592	6.879162684	26.03933043	5.520706098	31.56003653	35.56992	-4.009883471	107.8412251	0	37202.37266
2	1009	1397	388	1203	45.08576647	58.61149641	103.6972629	21.97632	81.72094288	86.2150269	81.15437965	167.3694065	55.96032	111.4090865	1281.098733	1669.871728	441945.2062
2	1872	1908	36	1890	3.772482501	7.268929696	11.0414122	2.03904	9.002372197	26.22335397	26.86743635	53.09079031	36.02304	17.06775031	141.1257287	255.8225239	48684.64676
2	3650	3700	50	3675	6.348812013	5.796741403	12.14555342	2.832	9.313553416	30.91595415	38.82896622	69.74492038	36.816	32.92892038	146.0039625	493.5600395	50367.5085
2	786498	786580	82	786539	15.64200061	5.888753172	21.53075378	4.64448	16.88627378	35.79257787	33.9523425	69.74492038	38.62848	31.11644038	264.7177477	466.3934124	91320.62708
2	806966	807393	427	807179.5	43.2455311	42.04937812	85.29490922	24.18528	61.10962922	87.41117989	81.52242672	168.9336066	58.16928	110.7643266	957.9853802	1660.207647	330479.6388
3	107233	107827	594	107530	71.30912044	67.90468501	139.2138054	33.64416	105.5696454	103.237204	102.2250746	205.4622786	67.62816	137.8341186	1654.963027	2065.947266	257547.9635
3	227523	227591	68	227557	9.109165062	7.268929696	16.37809476	3.85152	12.52657476	42.9694958	39.65707214	82.62656794	37.83552	44.79104794	196.3729061	671.3573096	30559.86221
3	308528	308622	94	308575	11.77750634	7.913012074	19.69051842	5.32416	14.36635842	53.64286092	49.59434312	103.237204	39.30816	63.92904404	225.214283	958.2100215	35048.20289
