Chr	Start	End	Length	Midpoint	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300	NormHpChr
1	6329	6760	431	6544.5	56.1481114169223	85.3395939638264	141.487705380749	11.35254	130.135165380749	70.5673221473766	101.121654482476	171.688976629853	27.15654	144.532436629853	224.657986267262	226.544878801873	11681.3664906945
1	9191	9576	385	9383.5	26.5787705171501	26.1261204077473	52.7048909248974	10.1409	42.5639909248974	40.0940808745093	36.8274409199718	76.9215217944811	25.9449	50.9766217944811	73.4800655972427	79.9024279631797	3820.68579115877
1	11130	11243	113	11186.5	8.5321595947548	6.47038684107977	15.0025464358346	2.97642	12.0261264358346	19.1968841405465	15.2220222454523	34.4189063859988	18.78042	15.6384863859988	20.7612242222559	24.5122761753058	1079.50522020235
1	28177	28865	688	28521	103.101936218002	131.232935650188	234.33487186819	18.12192	216.21295186819	117.998194368814	143.416092836005	261.414287204819	33.92592	227.488367204819	373.257806446786	356.572723597237	19407.9957052166
1	29827	30075	248	29951	23.1202517112885	29.5416439524992	52.6618956637878	6.53232	46.1295756637878	37.206599129571	39.8003132532534	77.0069123828244	22.33632	54.6705923828244	79.6354893442424	85.6924785479982	4140.744569789
1	31066	31177	111	31121.5	6.45368868153255	6.01413712842123	12.4678258099538	2.92374	9.54408580995377	16.0251337273881	25.5702816716813	41.5954153990695	18.72774	22.8676753990695	16.476369723378	35.8435439999546	856.708975152999
1	32971	33197	226	33084	81.9886632997182	43.7645763165392	125.753239616257	5.95284	119.800399616257	107.446957314556	56.6137600936373	164.060717408193	21.75684	142.303877408193	206.816631408247	223.051762027909	10753.6834456291
1	34454	35111	657	34782.5	178.521323576088	121.58049953108	300.101823107168	17.30538	282.796443107168	194.063910489255	134.496275968408	328.560186457663	33.10938	295.450806457663	488.203778326308	463.099278622708	25384.7519579697
1	36394	36567	173	36480.5	28.0904039065807	27.6909479341786	55.7813518407593	4.55682	51.2245318407593	41.3597413748012	37.8179317491621	79.1776731239633	20.36082	58.8168531239633	88.4311334077778	92.1914635439259	4598.08482968801
1	37240	37445	205	37342.5	28.7400323052532	26.2251094972787	54.9651418025319	5.3997	49.5654418025319	45.5264821212195	39.6611285940334	85.1876107152529	21.2037	63.9839107152529	85.5669742396258	100.290478983476	4449.15937421338
1	39003	39222	219	39112.5	61.0702689021386	47.4009755166194	108.471244418758	5.76846	102.702784418758	85.9313287434699	62.2035439938046	148.134872737275	21.57246	126.562412737275	177.300275940419	198.378074313295	9218.94447899769
1	42596	42658	62	42627	3.82567833794182	10.5132412421148	14.3389195800566	1.63308	12.7058395800566	23.6844895216177	36.63226243233	60.3167519539478	17.43708	42.8796719539478	21.9346425352348	67.2110033732369	1140.51853910788
1	45159	45276	117	45217.5	25.682569295463	34.0745443412045	59.7571136366675	3.08178	56.6753336366675	73.974046661948	80.7419007165187	154.715947378467	18.88578	135.830167378467	97.8410892135577	212.904656725597	5087.3669792119
1	45499	45719	220	45609	52.8019802238216	39.1206881607835	91.9226683846051	5.7948	86.1278683846051	111.296732996515	84.6797666892628	195.976499685778	21.5988	174.377699685778	148.686278733078	273.325322413505	7731.12473265209
1	48350	48502	152	48426	32.2886411814863	29.7842172163409	62.0728583978272	4.00368	58.0691783978272	55.2067151765803	42.4110255034209	97.6177406800013	19.80768	77.8100606800013	100.247343943362	121.962039645545	5212.48313393153
1	52617	52829	212	52723	15.8751502584011	63.3813141812701	79.2564644396712	5.58408	73.6723844396712	28.9290114761769	85.3796895445356	114.308701020712	21.38808	92.9206210207125	127.183836000815	145.646827232581	6613.07895037609
1	57366	57556	190	57461	24.1925335255665	33.0046622624304	57.1971957879969	5.0046	52.1925957879969	53.2898264539468	67.9820070979575	121.271833551904	20.8086	100.463233551904	90.1023442317547	157.469365353241	4684.98147842262
1	58423	58681	258	58552	91.5639079267881	142.84975525711	234.413663183898	6.79572	227.617943183898	110.599409854705	175.957906113141	286.557315967846	22.59972	263.957595967846	392.946738142427	413.73578818513	20431.7457653344
1	61029	61405	376	61217	143.660865857391	167.239167082966	310.900032940358	9.90384	300.996192940358	164.030820703375	195.497352496854	359.528173200229	25.70784	333.820333200229	519.622796668735	523.24093255359	27018.4222055038
1	62616	62751	135	62683.5	21.295752805551	11.0959770136191	32.3917298191701	3.5559	28.8358298191701	34.8725563851949	22.0111739526191	56.883730337814	19.3599	37.523830337814	49.7805450246006	58.8160816649949	2588.4002621082
1	67796	68683	887	68239.5	250.486691632382	312.705933895941	563.192625528323	23.36358	539.829045528323	270.53038243883	334.139871470919	604.670253909748	39.16758	565.502673909748	931.930319849672	886.387427696338	48456.8556445776
1	69613	70547	934	70080	155.559254430091	134.742048879588	290.301303309679	24.60156	265.699743309679	170.950757995499	156.236279809099	327.187037804597	40.40556	286.781477804597	458.689003153265	449.510688719998	23850.0951606965
1	70813	71700	887	71256.5	319.428892898795	93.6673760848416	413.096268983636	23.36358	389.732688983636	334.868791130196	108.298963407382	443.167754537577	39.16758	404.000174537577	672.812462591616	633.243116290527	34983.7060574805
1	73183	73353	170	73268	15.3360096818824	6.66106582465195	21.9970755065343	4.4778	17.5192755065343	33.1965411137545	21.9383819756708	55.1349230894252	20.2818	34.8531230894252	30.2442859671626	54.6299275807667	1572.58860235444
1	73635	73843	208	73739	19.1813858487512	19.6543337209569	38.8357195697081	5.47872	33.3569995697081	37.0331182504427	35.0546363165451	72.0877545669878	21.28272	50.8050345669878	57.585636667252	79.6334765183496	2994.23553859289
1	74874	75086	212	74980	16.0941261231222	23.8684692435752	39.9625953666973	5.58408	34.3785153666973	30.9362902361199	37.3301855080163	68.2664757441363	21.38808	46.8783957441363	59.3491237402529	73.4787341161317	3085.93020364174
1	76164	76629	465	76396.5	193.520270408667	168.419836950832	361.940107359499	12.2481	349.692007359499	211.666970299366	194.221293142712	405.888263442078	28.0521	377.836163442078	603.688495398518	592.232787669413	31389.5209252737
1	79541	79633	92	79587	16.4721844539488	7.61866027964447	24.0908447335933	2.42328	21.6675647335933	32.2212486094215	18.8491224704552	51.0703710798767	18.22728	32.8430910798767	37.4056577722282	51.4793375221681	1944.95287936518
1	81915	82733	818	82324	159.148858787847	232.893130775307	392.041989563155	21.54612	370.495869563155	177.594925682645	256.096873284332	433.691798966977	37.35012	396.341678966977	639.603105992668	621.238939295368	33256.9449848028
1	83442	83537	95	83489.5	4.25313122455485	19.0906958445037	23.3438270690585	2.5023	20.8415270690585	15.8996475583357	42.1664524599927	58.0661000183284	18.3063	39.7598000183284	35.9796330866459	62.3208138350757	1870.80498347312
1	84473	84643	170	84558	10.9413940515831	27.6468527942964	38.5882468458795	4.4778	34.1104468458795	21.8430924783743	41.9677743580746	63.8108668364489	20.2818	43.5290668364489	58.8863454136387	68.2288861985818	3061.86747911122
1	87041	87314	273	87177.5	91.3737288881126	91.6824948562672	183.05622374438	7.19082	175.86540374438	104.826346155435	104.885739609154	209.712085764589	22.99482	186.717265764589	303.604082291627	292.666762764028	15786.2652124925
1	92239	92946	707	92592.5	353.690616609295	352.942299088029	706.632915697325	18.62238	688.010535697324	378.173118174903	369.55486806895	747.727986243853	34.42638	713.301606243853	1187.7424601428	1118.05231893751	61758.1204390466
1	94473	94607	134	94540	20.667222081516	9.20068591051965	29.8679079920357	3.52956	26.3383479920357	33.3041292555078	18.9893070194685	52.2934362749763	19.33356	32.9598762749763	45.4690337095652	51.6623904650686	2364.21796333254
1	99806	99983	177	99894.5	18.7515332266344	18.6149482808768	37.3664815075112	4.66218	32.7043015075112	31.3267472003828	32.8413802591932	64.168127459576	20.46618	43.701947459576	56.4588556633266	68.4998649541246	2935.64718355464
1	100312	100418	106	100365	6.58547415628248	12.0680698706137	18.6535440268962	2.79204	15.8615040268962	18.1997940387207	26.691458096849	44.8912521355698	18.59604	26.2952121355698	27.3824030839531	41.21597743196	1423.78150509663
1	101169	101410	241	101289.5	25.898145534887	32.8362808212476	58.7344263561346	6.34794	52.3864863561346	34.3128180789353	45.5762766329232	79.8890947118585	22.15194	57.7371547118585	90.4370659379637	90.4991088613622	4702.38574251126
1	105909	106156	247	106032.5	27.8325323289024	35.3649021193896	63.197434448292	6.50598	56.691454448292	38.547751309253	53.0923482197805	91.6400995290335	22.30998	69.3301195290336	97.8689192706061	108.670301921556	5088.81403703184
1	108453	108900	447	108676.5	157.887597802646	180.976752941364	338.86435074401	11.77398	327.09037074401	176.32086610809	206.983686485757	383.304552593846	27.57798	355.726572593846	564.670308780596	557.577490243691	29360.7226383344
1	110429	110618	189	110523.5	32.4217265129675	27.6806490693082	60.1023755822756	4.97826	55.1241155822756	43.5669980933936	40.9506864603839	84.5176845537775	20.78226	63.7354245537775	95.1631541347381	99.9009936288526	4948.124472797
1	113160	114371	1211	113765.5	196.475644670567	208.938671009513	405.414315680079	31.89774	373.516575680079	221.879244713714	247.102664616118	468.981909329831	47.70174	421.280169329831	644.817882116769	660.328346548796	33528.0936409653
1	114604	114848	244	114726	140.83157769842	113.781859088651	254.613436787071	6.42696	248.186476787071	171.506696720544	138.872093670594	310.378790391138	22.23096	288.147830391138	428.455090755954	451.652354551809	22278.0459447813
1	119642	119872	230	119757	37.3302854969956	46.434482042467	83.7647675394626	6.0582	77.7065675394626	48.0635024936248	58.3666668901784	106.430169383803	21.8622	84.5679693838032	134.148221444065	132.55460726535	6975.20068081961
1	124432	124801	369	124616.5	64.1626280657132	58.6346373547686	122.797265420482	9.71946	113.077805420482	79.3259567803018	69.9324921176442	149.258448897946	25.52346	123.734988897946	195.211125163289	193.946277507415	10150.2409684223
1	128074	128209	135	128141.5	8.41687230159344	20.3316590669024	28.7485313684958	3.5559	25.1926313684958	25.8809474304431	43.9516556968557	69.8326031272988	19.3599	50.4727031272988	43.4911333570793	79.11256932629	2261.37461783947
1	128945	129302	357	129123.5	304.27536310418	337.813366582328	642.088729686508	9.40338	632.685349686508	348.699766695283	372.968391834115	721.668158529398	25.20738	696.460778529398	1092.2321893971	1091.65545355244	56791.9472139439
1	130477	130820	343	130648.5	413.208756585377	159.592509889111	572.801266474488	9.03462	563.766646474488	461.296556400977	182.074131989453	643.37068839043	24.83862	618.53206839043	973.254839697173	969.507438855698	50605.5745457449
1	131986	132204	218	132095	60.568724181846	26.3420966030886	86.9108207849345	5.74212	81.1687007849345	74.7434618578515	37.0070211268389	111.75048298469	21.54612	90.2043629846904	140.12505238627	141.389275350707	7285.97330835383
1	135710	135780	70	135745	6.82074822463347	5.21352537096846	12.0342735956019	1.8438	10.1904735956019	21.149168961861	18.1107038581424	39.2598728200034	17.6478	21.6120728200034	17.5922570229146	33.8754713601339	914.730898721259
1	136713	136859	146	136786	25.6264754780618	17.8798293048817	43.5063047829435	3.84564	39.6606647829435	46.1424142338596	33.7740774583339	79.9164916921934	19.64964	60.2668516921934	68.4679276203932	94.4642388292679	3560.07355305272
1	138451	138660	209	138555.5	90.1922591084121	75.226808583907	165.419067692319	5.50506	159.914007692319	107.738725156225	99.332351697461	207.071076853686	21.30906	185.762016853686	276.066494701658	291.169474308978	14354.4146993958
1	139136	139483	347	139309.5	22.1045636593084	70.4574342590988	92.5619979184072	9.13998	83.4220179184072	61.886778907304	119.707106014452	181.593884921756	24.94398	156.649904921756	144.015051589378	245.538195801054	7488.23856985208
1	141638	142083	445	141860.5	183.670356055392	161.784368304887	345.454724360279	11.7213	333.733424360279	217.664909213137	187.962582970863	405.627492184	27.5253	378.102192184	576.138500669622	592.649769839655	29957.0252878291
1	143394	143631	237	143512.5	103.297914617478	67.5694525692639	170.867367186742	6.24258	164.624787186742	120.401729453821	78.325167086241	198.726896540062	22.04658	176.680316540062	284.198917877743	276.93451954838	14777.2699789062
1	152054	152174	120	152114	7.22370381131195	12.4484279479648	19.6721317592767	3.1608	16.5113317592767	16.8921381671125	20.0229930877271	36.9151312548396	18.9648	17.9503312548396	28.504228912891	28.1359376026818	1482.11220975701
1	154755	154915	160	154835	25.5753811096269	27.5889591752674	53.1643402848943	4.2144	48.9499402848943	38.1822915898213	37.5882570636533	75.7705486534746	20.0184	55.7521486534746	84.5044072455906	87.3877452989447	4393.90990507822
1	158677	158860	183	158768.5	49.8128096869101	42.4427220098668	92.255531696777	4.82022	87.435311696777	64.3219105097774	55.0957274095299	119.417637919307	20.62422	98.7934179193073	150.943374890075	154.852041595828	7848.48520513163
1	168984	169294	310	169139	170.803374239974	163.722854647055	334.526228887029	8.1654	326.360828887029	196.38785434672	191.430100784864	387.817955131583	23.9694	363.848555131583	563.410868997295	570.308151903778	29295.2365279755
1	170782	170931	149	170856.5	10.0370937225707	14.9567514833039	24.9938452058745	3.92466	21.0691852058745	21.2465582277232	31.2108599733455	52.4574182010688	19.72866	32.7287582010688	36.3726492128005	51.3001284202074	1891.24033715293
1	171799	171947	148	171873	10.056291606601	9.07110019331486	19.1273917999158	3.89832	15.2290717999158	25.2882127610064	27.3915809300805	52.6797936910869	19.70232	32.9774736910869	26.2906078712739	51.689973231906	1367.01227902105
1	175009	175397	388	175203	46.3299935590727	33.0012626371334	79.331256196206	10.21992	69.111336196206	66.9955158279402	51.9605729628044	118.956088790745	26.02392	92.9321687907446	119.30990038436	145.664927585853	6203.6640473576
1	176231	176389	158	176310	15.9383432933343	13.6416964272256	29.5800397205599	4.16172	25.4183197205599	28.0182118635083	28.9956041364071	57.0138159999154	19.96572	37.0480959999154	43.8807489582917	58.0704000696785	2281.63315707003
1	179689	180587	898	180138	116.365974270318	97.2576803654531	213.623654635771	23.65332	189.970334635771	126.744730335241	112.243028696844	238.987759032085	39.45732	199.530439032085	327.95403690403	312.750550546463	17052.3708541627
1	180982	181409	427	181195.5	91.9531650232991	56.9094275055004	148.8625925288	11.24718	137.6154125288	108.626327325691	69.0712870387207	177.697614364411	27.05118	150.646434364411	237.571461699869	236.128159261731	12352.8184239341
1	182516	182658	142	182587	14.5437969986929	11.5102313549613	26.0540283536542	3.74028	22.3137483536542	28.8440208437509	24.8408620675077	53.6848829112586	19.54428	34.1406029112586	38.5211926118469	53.5131000978119	2002.95647634937
1	182951	183088	137	183019.5	23.6718909102228	7.53296972436321	31.204860634586	3.60858	27.596280634586	33.4762102889256	18.4258691209739	51.9020794098995	19.41258	32.4894994098995	47.6406574479174	50.9251063482656	2477.13419297152
1	184611	184857	246	184734	55.615570113039	43.8139708723256	99.4295409853646	6.47964	92.9499009853646	72.312929748427	58.2472800488647	130.560209797292	22.28364	108.276569797292	160.463449814023	169.716244697583	8343.49313275193
1	188699	191684	2985	190191.5	709.764470540794	653.287195403935	1363.05166594473	78.6249	1284.42676594473	736.316244033527	673.084413376347	1409.40065740987	94.4289	1314.97175740987	2217.36169390231	2061.12983601894	115294.430521986
1	192005	192597	592	192301	148.802499152225	55.8590432776946	204.66154242992	15.59328	189.06826242992	188.972671640001	72.0096631741352	260.982334814136	31.39728	229.585054814136	326.39675048847	359.859140483397	16971.3978442404
1	198294	198800	506	198547	26.8131446846872	53.3815163479875	80.1946610326747	13.32804	66.8666210326747	31.182663081176	65.6155679242802	96.7982310054561	29.13204	67.6661910054561	115.434751135446	106.062205811794	6002.17092737185
1	202615	202883	268	202749	77.9386096921718	0.867004439724354	78.8056141318962	7.05912	71.7464941318962	88.0382965157997	4.60499244279842	92.6432889585981	22.86312	69.7801689585981	123.859087943282	109.375724149624	6440.20461283501
1	211281	211552	271	211416.5	24.710376449489	26.4829810749571	51.1933575244461	7.13814	44.0552175244461	42.0142692334606	33.2398363418021	75.2541055752626	22.94214	52.3119655752626	76.0544348228291	81.9954895764059	3954.54326449455
1	220100	220246	146	220173	6.45288876969795	27.2673946177592	33.7202833874572	3.84564	29.8746433874572	28.6193456072083	58.1317927777447	86.751138384953	19.64964	67.101498384953	51.573893991236	105.17708808836	2681.64763280285
2	10535	10724	189	10629.5	41.6675074531626	48.0209071884324	89.688414641595	4.97826	84.710154641595	54.6345782368845	59.8698012163664	114.504379453251	20.78226	93.7221194532509	146.23881794355	146.903122148056	1912.69970537057
2	21364	21490	126	21427	13.0747589144546	12.2052547502471	25.2800136647018	3.31884	21.9611736647018	24.4315071861525	22.7423933584206	47.173900544573	19.12284	28.051060544573	37.9125276180529	43.9681517831807	495.868890521908
2	23803	23958	155	23880.5	21.7871986389318	22.7234954413282	44.51069408026	4.0827	40.42799408026	34.2778219361716	34.3929092513743	68.670731187546	19.8867	48.784031187546	69.7926015026188	76.4656895749497	912.837577657626
